      1149	       652	    997769	         1	         0	       429	         0	         0	         0
      1082	       615	    997893	         1	         0	       409	         0	         0	         0
      1073	       671	    997753	         0	         2	       501	         0	         0	         0
      1141	       671	    997712	         0	         0	       475	         0	         0	         1
      1117	       626	    997859	         1	         0	       397	         0	         0	         0
      1162	       632	    997767	         0	         2	       437	         0	         0	         0
      1061	       647	    997830	         0	         0	       462	         0	         0	         0
      1124	       639	    997786	         2	         1	       448	         0	         0	         0
      1132	       638	    997751	         1	         1	       477	         0	         0	         0
      1139	       606	    997151	         1	         0	      1068	         1	        12	        22
