         0	         8	         0	         0	        17	         0	        29	      4946	         0
         0	         7	         0	         0	        11	         0	        16	      4966	         0
         0	         3	         0	         0	        16	         0	         9	      4972	         0
         0	         5	         0	         0	        18	         0	        16	      4961	         0
         0	         9	         0	         0	        26	         0	        32	      4933	         0
         1	        11	         0	         0	        21	         0	        13	      4954	         0
         0	         8	         0	         0	        14	         0	         7	      4971	         0
         0	         8	         0	         1	        27	         0	         7	      4957	         0
         0	         9	         0	         0	        22	         0	        13	      4956	         0
         0	        10	         0	         0	        17	         0	        21	      4952	         0
         0	         4	         0	         0	        13	         0	        16	      4967	         0
         0	         7	         0	         0	        16	         0	        14	      4963	         0
         0	         9	         0	         0	        10	         0	        11	      4970	         0
         0	         5	         0	         0	        20	         0	         4	      4971	         0
         0	         8	         0	         0	        25	         0	        21	      4946	         0
         0	        10	         0	         0	        17	         0	         7	      4966	         0
         0	         3	         0	         0	         3	         0	        13	      4981	         0
         0	         0	        25	         0	         0	        36	        10	         7	      4922
         0	         7	         0	         1	        14	         0	        10	      4968	         0
         0	         8	         0	         0	        15	         0	        15	      4962	         0
         0	         4	         0	         0	        17	         0	        13	      4966	         0
         0	        11	         0	         0	        15	         0	        12	      4962	         0
         0	        10	         0	         0	        15	         0	        21	      4954	         0
         0	         7	         0	         0	        13	         0	        17	      4963	         0
         0	         2	         0	         0	        15	         0	         8	      4975	         0
         0	         0	        29	         1	         0	        49	        16	        11	      4894
         0	         6	         0	         0	        12	         0	         7	      4975	         0
         0	        15	         0	         0	        24	         0	         4	      4957	         0
         0	         6	         0	         0	        13	         0	        16	      4965	         0
         1	        10	         0	         0	        11	         0	        21	      4957	         0
         0	         9	         0	         0	         9	         0	        17	      4965	         0
         0	         8	         0	         0	        16	         0	        16	      4960	         0
         0	         7	         0	         0	        20	         0	        14	      4959	         0
         0	         7	         0	         0	        14	         0	        17	      4962	         0
         0	        10	         0	         0	         9	         0	        16	      4965	         0
         0	        10	         0	         0	        22	         0	        22	      4946	         0
         0	        10	         0	         0	        21	         0	        26	      4943	         0
         0	         5	         0	         0	        15	         0	         6	      4974	         0
         0	         9	         0	         0	        11	         0	         8	      4972	         0
         0	         6	         0	         0	        14	         0	        22	      4958	         0
         0	         0	        19	         0	         0	        42	         9	         7	      4923
         0	         7	         0	         0	        11	         0	        14	      4968	         0
         0	         9	         0	         0	         9	         0	        22	      4960	         0
         0	         9	         0	         0	        13	         0	        18	      4960	         0
         0	        13	         0	         0	        17	         0	        12	      4958	         0
         0	         0	        14	         0	         0	        44	        11	         3	      4928
         0	         7	         0	         2	        20	         0	        29	      4942	         0
         0	         9	         0	         0	        21	         0	        12	      4958	         0
         0	         7	         0	         0	        12	         0	         4	      4977	         0
         0	         5	         0	         0	        19	         0	        14	      4962	         0
         0	         0	        22	         0	         0	        28	         6	         2	      4942
         0	         5	         0	         0	        14	         0	        24	      4957	         0
         0	         0	        19	         0	         0	        27	        19	        10	      4925
         0	         5	         0	         0	        20	         0	        17	      4958	         0
         0	        11	         0	         0	        10	         0	        18	      4961	         0
         0	         3	         0	         0	        14	         0	        16	      4967	         0
         0	        10	         0	         0	        11	         0	        19	      4960	         0
         0	         6	         0	         0	        27	         0	        29	      4938	         0
         0	         8	         0	         0	        18	         0	        13	      4961	         0
         0	         5	         0	         0	        19	         0	        15	      4961	         0
